"Date","Price","Open","High","Low","Vol.","Change %"
"2024-11-01","39.175","39.325","40.380","38.550","","-3.48%"
"2024-10-01","40.588","38.395","43.605","37.445","4.71K","3.95%"
"2024-09-01","39.044","39.845","39.845","32.525","7.15K","-1.96%"
"2024-08-01","39.825","36.140","42.860","34.825","14.00K","11.03%"
"2024-07-01","35.870","34.500","35.950","30.405","13.79K","4.03%"
"2024-06-01","34.480","36.230","38.500","32.430","8.69K","0.75%"
"2024-05-01","34.223","28.700","36.165","28.475","21.51K","17.52%"
"2024-04-01","29.120","27.340","33.715","25.185","14.23K","6.51%"
"2024-03-01","27.340","25.275","29.675","24.355","8.38K","9.95%"
"2024-02-01","24.865","30.140","30.715","22.650","9.40K","-17.76%"
"2024-01-01","30.235","33.395","35.045","26.725","12.16K","-6.54%"
"2023-12-01","32.350","42.795","44.120","31.635","17.85K","-23.14%"
"2023-11-01","42.090","46.590","50.370","39.570","29.33K","-12.32%"
"2023-10-01","48.005","40.610","55.670","35.880","28.87K","14.68%"
"2023-09-01","41.859","35.750","44.730","30.570","39.67K","19.49%"
"2023-08-01","35.030","29.115","44.700","26.980","33.50K","23.50%"
"2023-07-01","28.365","37.820","37.820","24.465","17.37K","-23.55%"
"2023-06-01","37.103","25.200","43.530","23.125","6.59K","38.19%"
"2023-05-01","26.850","38.835","38.835","23.790","4.22K","-30.33%"
"2023-04-01","38.540","49.900","51.835","38.300","2.01K","-19.45%"
"2023-03-01","47.845","47.250","54.230","38.855","0.94K","2.53%"
"2023-02-01","46.665","57.400","59.200","46.700","0.04K","-18.63%"
"2023-01-01","57.350","72.315","76.000","53.000","0.11K","-24.85%"
"2022-12-01","76.315","139.260","149.245","76.315","","-47.87%"
"2022-11-01","146.395","116.195","146.395","97.855","","18.68%"
"2022-10-01","123.350","169.910","175.710","99.170","","-34.67%"
"2022-09-01","188.800","243.005","243.005","173.835","0.01K","-21.30%"
"2022-08-01","239.905","200.795","339.195","192.185","","25.66%"
"2022-07-01","190.915","147.785","205.225","147.785","","32.11%"
"2022-06-01","144.515","85.550","144.515","79.405","0.03K","53.73%"
"2022-05-01","94.005","97.050","106.700","84.840","0.12K","-5.48%"
"2022-04-01","99.450","114.750","114.750","92.835","0.04K","-21.01%"
"2022-03-01","125.905","103.665","227.200","97.600","0.97K","27.70%"
"2022-02-01","98.595","78.300","135.000","68.515","3.24K","16.45%"
"2022-01-01","84.670","80.435","97.020","71.000","1.84K","20.36%"
"2021-12-01","70.345","92.600","176.655","67.365","6.85K","-23.96%"
"2021-11-01","92.515","63.590","99.850","62.840","1.08K","42.63%"
"2021-10-01","64.865","94.665","132.930","70.000","2.71K","-33.66%"
"2021-09-01","97.775","52.250","96.300","49.600","16.82K","94.23%"
"2021-08-01","50.340","42.100","50.470","40.100","14.86K","23.52%"
"2021-07-01","40.755","35.500","40.880","31.470","14.68K","17.72%"
"2021-06-01","34.620","25.180","34.925","25.180","16.21K","38.87%"
"2021-05-01","24.930","23.815","26.915","22.570","16.71K","7.06%"
