"Date","Price","Open","High","Low","Vol.","Change %"
"2024-11-01","13.475","13.475","13.475","13.475","","-1.06%"
"2024-10-01","13.620","13.620","13.620","13.620","","3.77%"
"2024-09-01","13.125","13.125","13.125","13.125","","-6.85%"
"2024-08-01","14.090","14.090","14.090","14.090","","12.50%"
"2024-07-01","12.525","12.525","12.525","12.525","","-0.87%"
"2024-06-01","12.635","12.635","12.635","12.635","","6.13%"
"2024-05-01","11.905","11.905","11.905","11.905","","15.19%"
"2024-04-01","10.335","10.335","10.335","10.335","","8.39%"
"2024-03-01","9.535","9.535","9.535","9.535","","13.92%"
"2024-02-01","8.370","8.370","8.370","8.370","","-12.17%"
"2024-01-01","9.530","9.530","9.530","9.530","","-17.27%"
"2023-12-01","11.520","11.520","11.520","11.520","","-28.60%"
"2023-11-01","16.135","16.135","16.135","16.135","","-8.94%"
"2023-10-01","17.720","17.720","17.720","17.720","","21.12%"
"2023-09-01","14.630","14.630","14.630","14.630","","10.83%"
"2023-08-01","13.200","13.200","13.200","13.200","","20.88%"
"2023-07-01","10.920","10.920","10.920","10.920","","-10.78%"
"2023-06-01","12.240","12.240","12.240","12.240","","31.83%"
"2023-05-01","9.285","9.285","9.285","9.285","","-19.61%"
"2023-04-01","11.550","11.550","11.550","11.550","","-14.54%"
"2023-03-01","13.515","13.515","13.515","13.515","","-5.88%"
"2023-02-01","14.360","14.360","14.360","14.360","","-24.52%"
"2023-01-01","19.025","19.025","19.025","19.025","","-35.54%"
"2022-12-01","29.515","29.515","29.515","29.515","","-11.39%"
"2022-11-01","33.310","33.310","33.310","33.310","","20.97%"
"2022-10-01","27.535","27.535","27.535","27.535","","-28.90%"
"2022-09-01","38.725","38.725","38.725","38.725","","-28.22%"
"2022-08-01","53.950","53.950","53.950","53.950","","27.77%"
"2022-07-01","42.225","42.225","42.225","42.225","","9.22%"
"2022-06-01","38.660","38.660","38.660","38.660","","60.58%"
"2022-05-01","24.075","24.075","24.075","24.075","","-1.85%"
"2022-04-01","24.530","24.530","24.530","24.530","0.02K","-30.77%"
"2022-03-01","35.435","35.435","35.435","35.435","0.03K","26.78%"
"2022-02-01","27.950","27.950","27.950","27.950","","13.11%"
"2022-01-01","24.710","24.710","24.710","24.710","","-18.97%"
"2021-12-01","30.495","30.495","30.495","30.495","","-15.16%"
"2021-11-01","35.945","35.945","35.945","35.945","","19.82%"
"2021-10-01","30.000","30.000","30.000","30.000","","-3.52%"
"2021-09-01","31.095","31.095","31.095","31.095","","70.66%"
"2021-08-01","18.220","18.220","18.220","18.220","","23.48%"
"2021-07-01","14.755","14.755","14.755","14.755","","12.55%"
"2021-06-01","13.110","13.110","13.110","13.110","","26.06%"
"2021-05-01","10.400","10.400","10.400","10.400","","16.92%"
"2021-04-01","8.895","8.895","8.895","8.895","","26.71%"
"2021-03-01","7.020","7.020","7.020","7.020","0.02K","13.32%"
"2021-02-01","6.195","6.195","6.195","6.195","","-30.16%"
"2021-01-01","8.870","8.870","8.870","8.870","","-37.97%"
"2020-12-01","14.300","14.300","14.300","14.300","","95.22%"
"2020-11-01","7.325","7.325","7.325","7.325","","4.34%"
"2020-10-01","7.020","7.020","7.020","7.020","0.47K","39.01%"
"2020-09-01","5.050","5.050","5.050","5.050","0.10K","19.53%"
"2020-08-01","4.225","4.225","4.225","4.225","","65.04%"
"2020-07-01","2.560","2.560","2.560","2.560","","19.07%"
"2020-06-01","2.150","2.150","2.150","2.150","","4.12%"
"2020-05-01","2.065","2.065","2.065","2.065","","2.99%"
"2020-04-01","2.005","2.005","2.005","2.005","","-30.26%"
"2020-03-01","2.875","2.875","2.875","2.875","","-2.87%"
"2020-02-01","2.960","2.960","2.960","2.960","","-26.37%"
"2020-01-01","4.020","4.020","4.020","4.020","","-24.15%"
"2019-12-01","5.300","5.300","5.300","5.300","","-5.86%"
"2019-11-01","5.630","5.630","5.630","5.630","0.74K","-9.78%"
"2019-10-01","6.240","6.240","6.240","6.240","0.03K","9.67%"
"2019-09-01","5.690","5.690","5.690","5.690","0.10K","21.84%"
"2019-08-01","4.670","4.670","4.670","4.670","","9.24%"
"2019-07-01","4.275","4.275","4.275","4.275","0.05K","-10.00%"
"2019-06-01","4.750","4.750","4.750","4.750","","2.15%"
"2019-05-01","4.650","4.650","4.650","4.650","0.55K","-16.22%"
"2019-04-01","5.550","5.550","5.550","5.550","","20.65%"
"2019-03-01","4.600","4.600","4.600","4.600","0.03K","-24.90%"
"2019-02-01","6.125","6.125","6.125","6.125","","-16.67%"
"2019-01-01","7.350","7.350","7.350","7.350","","-18.29%"
"2018-12-01","8.995","8.995","8.995","8.995","","-8.26%"
"2018-11-01","9.805","9.805","9.805","9.805","0.03K","-6.40%"
