Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,3053,33
2011,2011-01-01,2,2892,34
2011,2011-01-01,3,2774,34
2011,2011-01-01,4,2710,31
2011,2011-01-01,5,2698,30
2011,2011-01-01,6,2737,29
2011,2011-01-01,7,2829,29
2011,2011-01-01,8,2892,29
2011,2011-01-01,9,3052,29
2011,2011-01-01,10,3192,34
2011,2011-01-01,11,3295,38
2011,2011-01-01,12,3325,42
2011,2011-01-01,13,3318,45
2011,2011-01-01,14,3269,48
2011,2011-01-01,15,3250,50
2011,2011-01-01,16,3319,50
2011,2011-01-01,17,3628,49
2011,2011-01-01,18,3892,47
2011,2011-01-01,19,3858,47
2011,2011-01-01,20,3757,45
2011,2011-01-01,21,3634,44
2011,2011-01-01,22,3471,44
2011,2011-01-01,23,3238,43
2011,2011-01-01,24,2988,43
2011,2011-01-02,1,2735,44
2011,2011-01-02,2,2580,44
2011,2011-01-02,3,2495,43
2011,2011-01-02,4,2456,43
2011,2011-01-02,5,2471,43
2011,2011-01-02,6,2523,42
2011,2011-01-02,7,2638,42
2011,2011-01-02,8,2778,42
2011,2011-01-02,9,3010,40
2011,2011-01-02,10,3238,42
2011,2011-01-02,11,3364,44
2011,2011-01-02,12,3441,46
2011,2011-01-02,13,3480,48
2011,2011-01-02,14,3458,47
2011,2011-01-02,15,3434,48
2011,2011-01-02,16,3489,47
2011,2011-01-02,17,3794,46
2011,2011-01-02,18,4100,44
2011,2011-01-02,19,4082,42
2011,2011-01-02,20,3984,40
2011,2011-01-02,21,3850,38
2011,2011-01-02,22,3623,36
2011,2011-01-02,23,3329,35
2011,2011-01-02,24,3048,33
2011,2011-01-03,1,2867,31
2011,2011-01-03,2,2773,30
2011,2011-01-03,3,2743,29
2011,2011-01-03,4,2780,29
2011,2011-01-03,5,2872,29
2011,2011-01-03,6,3161,29
2011,2011-01-03,7,3688,28
2011,2011-01-03,8,3990,28
2011,2011-01-03,9,4033,29
2011,2011-01-03,10,4041,30
2011,2011-01-03,11,4063,31
2011,2011-01-03,12,4056,32
2011,2011-01-03,13,4025,33
2011,2011-01-03,14,3979,34
2011,2011-01-03,15,3943,34
2011,2011-01-03,16,3975,32
2011,2011-01-03,17,4269,31
2011,2011-01-03,18,4707,30
2011,2011-01-03,19,4712,28
2011,2011-01-03,20,4609,28
2011,2011-01-03,21,4438,26
2011,2011-01-03,22,4133,25
2011,2011-01-03,23,3748,25
2011,2011-01-03,24,3377,24
2011,2011-01-04,1,3146,25
2011,2011-01-04,2,3059,23
2011,2011-01-04,3,3006,24
2011,2011-01-04,4,3009,21
2011,2011-01-04,5,3105,19
2011,2011-01-04,6,3416,20
2011,2011-01-04,7,3948,19
2011,2011-01-04,8,4241,20
2011,2011-01-04,9,4253,20
2011,2011-01-04,10,4221,25
2011,2011-01-04,11,4209,29
2011,2011-01-04,12,4173,32
2011,2011-01-04,13,4103,34
2011,2011-01-04,14,4045,37
2011,2011-01-04,15,3964,38
2011,2011-01-04,16,3982,39
2011,2011-01-04,17,4240,38
2011,2011-01-04,18,4654,36
2011,2011-01-04,19,4672,31
2011,2011-01-04,20,4569,32
2011,2011-01-04,21,4403,25
2011,2011-01-04,22,4118,29
2011,2011-01-04,23,3729,30
2011,2011-01-04,24,3362,26
2011,2011-01-05,1,3135,25
2011,2011-01-05,2,3011,23
2011,2011-01-05,3,2971,20
2011,2011-01-05,4,2969,22
2011,2011-01-05,5,3056,22
2011,2011-01-05,6,3334,23
2011,2011-01-05,7,3868,26
2011,2011-01-05,8,4164,21
2011,2011-01-05,9,4159,23
2011,2011-01-05,10,4113,28
2011,2011-01-05,11,4093,32
2011,2011-01-05,12,4076,35
2011,2011-01-05,13,4041,36
2011,2011-01-05,14,4031,36
2011,2011-01-05,15,4001,37
2011,2011-01-05,16,4019,36
2011,2011-01-05,17,4281,34
2011,2011-01-05,18,4672,31
2011,2011-01-05,19,4687,30
2011,2011-01-05,20,4580,29
2011,2011-01-05,21,4439,26
2011,2011-01-05,22,4159,26
2011,2011-01-05,23,3781,26
2011,2011-01-05,24,3426,24
2011,2011-01-06,1,3213,24
2011,2011-01-06,2,3109,22
2011,2011-01-06,3,3070,23
2011,2011-01-06,4,3085,21
2011,2011-01-06,5,3181,18
2011,2011-01-06,6,3483,20
2011,2011-01-06,7,4022,17
2011,2011-01-06,8,4332,16
2011,2011-01-06,9,4356,17
2011,2011-01-06,10,4336,22
2011,2011-01-06,11,4295,25
2011,2011-01-06,12,4254,26
2011,2011-01-06,13,4182,28
2011,2011-01-06,14,4129,30
2011,2011-01-06,15,4076,31
2011,2011-01-06,16,4074,31
2011,2011-01-06,17,4325,30
2011,2011-01-06,18,4720,29
2011,2011-01-06,19,4746,26
2011,2011-01-06,20,4656,25
2011,2011-01-06,21,4493,23
2011,2011-01-06,22,4228,21
2011,2011-01-06,23,3834,19
2011,2011-01-06,24,3474,20
2011,2011-01-07,1,3229,21
2011,2011-01-07,2,3099,22
2011,2011-01-07,3,3036,21
2011,2011-01-07,4,3025,21
2011,2011-01-07,5,3104,21
2011,2011-01-07,6,3370,21
2011,2011-01-07,7,3854,21
2011,2011-01-07,8,4166,22
2011,2011-01-07,9,4239,23
2011,2011-01-07,10,4276,25
2011,2011-01-07,11,4324,26
2011,2011-01-07,12,4327,28
2011,2011-01-07,13,4300,30
2011,2011-01-07,14,4292,31
2011,2011-01-07,15,4268,32
2011,2011-01-07,16,4255,33
2011,2011-01-07,17,4435,33
2011,2011-01-07,18,4700,32
2011,2011-01-07,19,4651,30
2011,2011-01-07,20,4473,29
2011,2011-01-07,21,4278,29
2011,2011-01-07,22,4013,28
2011,2011-01-07,23,3692,28
2011,2011-01-07,24,3366,28
2011,2011-01-08,1,3123,27
2011,2011-01-08,2,2978,27
2011,2011-01-08,3,2907,26
2011,2011-01-08,4,2891,26
2011,2011-01-08,5,2918,26
2011,2011-01-08,6,3018,26
2011,2011-01-08,7,3207,25
2011,2011-01-08,8,3395,25
2011,2011-01-08,9,3647,25
2011,2011-01-08,10,3843,25
2011,2011-01-08,11,3941,26
2011,2011-01-08,12,3943,27
2011,2011-01-08,13,3912,27
2011,2011-01-08,14,3878,28
2011,2011-01-08,15,3839,28
2011,2011-01-08,16,3863,28
2011,2011-01-08,17,4108,28
2011,2011-01-08,18,4412,28
2011,2011-01-08,19,4368,28
2011,2011-01-08,20,4219,28
2011,2011-01-08,21,4081,28
2011,2011-01-08,22,3886,27
2011,2011-01-08,23,3642,27
2011,2011-01-08,24,3375,27
2011,2011-01-09,1,3147,27
2011,2011-01-09,2,3005,28
2011,2011-01-09,3,2926,28
2011,2011-01-09,4,2902,27
2011,2011-01-09,5,2937,26
2011,2011-01-09,6,3030,25
2011,2011-01-09,7,3152,24
2011,2011-01-09,8,3295,23
2011,2011-01-09,9,3517,23
2011,2011-01-09,10,3685,24
2011,2011-01-09,11,3766,27
2011,2011-01-09,12,3801,28
2011,2011-01-09,13,3793,29
2011,2011-01-09,14,3755,30
2011,2011-01-09,15,3731,31
2011,2011-01-09,16,3772,30
2011,2011-01-09,17,4059,29
2011,2011-01-09,18,4500,27
2011,2011-01-09,19,4520,26
2011,2011-01-09,20,4411,26
2011,2011-01-09,21,4262,26
2011,2011-01-09,22,3993,25
2011,2011-01-09,23,3658,26
2011,2011-01-09,24,3354,27
2011,2011-01-10,1,3147,27
2011,2011-01-10,2,3059,27
2011,2011-01-10,3,3025,27
2011,2011-01-10,4,3047,26
2011,2011-01-10,5,3144,25
2011,2011-01-10,6,3454,24
2011,2011-01-10,7,3995,24
2011,2011-01-10,8,4275,22
2011,2011-01-10,9,4285,22
2011,2011-01-10,10,4256,24
2011,2011-01-10,11,4258,26
2011,2011-01-10,12,4221,28
2011,2011-01-10,13,4153,30
2011,2011-01-10,14,4105,31
2011,2011-01-10,15,4056,32
2011,2011-01-10,16,4068,31
2011,2011-01-10,17,4316,30
2011,2011-01-10,18,4699,27
2011,2011-01-10,19,4725,26
2011,2011-01-10,20,4661,25
2011,2011-01-10,21,4497,21
2011,2011-01-10,22,4206,23
2011,2011-01-10,23,3832,21
2011,2011-01-10,24,3468,20
2011,2011-01-11,1,3259,20
2011,2011-01-11,2,3128,21
2011,2011-01-11,3,3096,20
2011,2011-01-11,4,3103,19
2011,2011-01-11,5,3218,18
2011,2011-01-11,6,3517,17
2011,2011-01-11,7,4074,14
2011,2011-01-11,8,4366,14
2011,2011-01-11,9,4377,15
2011,2011-01-11,10,4346,17
2011,2011-01-11,11,4317,19
2011,2011-01-11,12,4278,21
2011,2011-01-11,13,4245,23
2011,2011-01-11,14,4232,24
2011,2011-01-11,15,4212,24
2011,2011-01-11,16,4232,25
2011,2011-01-11,17,4426,25
2011,2011-01-11,18,4757,25
2011,2011-01-11,19,4755,24
2011,2011-01-11,20,4627,24
2011,2011-01-11,21,4454,23
2011,2011-01-11,22,4189,22
2011,2011-01-11,23,3850,23
2011,2011-01-11,24,3528,24
2011,2011-01-12,1,3278,24
2011,2011-01-12,2,3166,23
2011,2011-01-12,3,3098,24
2011,2011-01-12,4,3072,24
2011,2011-01-12,5,3106,25
2011,2011-01-12,6,3252,26
2011,2011-01-12,7,3463,26
2011,2011-01-12,8,3633,26
2011,2011-01-12,9,3817,27
