Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,12055,36
2011,2011-01-01,2,11430,36
2011,2011-01-01,3,10966,35
2011,2011-01-01,4,10725,35
2011,2011-01-01,5,10672,36
2011,2011-01-01,6,10852,36
2011,2011-01-01,7,11255,36
2011,2011-01-01,8,11583,35
2011,2011-01-01,9,12238,35
2011,2011-01-01,10,12877,39
2011,2011-01-01,11,13349,43
2011,2011-01-01,12,13510,47
2011,2011-01-01,13,13492,49
2011,2011-01-01,14,13314,51
2011,2011-01-01,15,13156,53
2011,2011-01-01,16,13364,51
2011,2011-01-01,17,14632,48
2011,2011-01-01,18,15653,46
2011,2011-01-01,19,15504,46
2011,2011-01-01,20,15088,44
2011,2011-01-01,21,14579,44
2011,2011-01-01,22,13882,44
2011,2011-01-01,23,12931,43
2011,2011-01-01,24,11883,44
2011,2011-01-02,1,10978,44
2011,2011-01-02,2,10406,43
2011,2011-01-02,3,10089,43
2011,2011-01-02,4,9982,43
2011,2011-01-02,5,10031,43
2011,2011-01-02,6,10289,43
2011,2011-01-02,7,10818,43
2011,2011-01-02,8,11444,42
2011,2011-01-02,9,12346,42
2011,2011-01-02,10,13274,42
2011,2011-01-02,11,13816,44
2011,2011-01-02,12,14103,45
2011,2011-01-02,13,14228,46
2011,2011-01-02,14,14154,47
2011,2011-01-02,15,14055,47
2011,2011-01-02,16,14197,46
2011,2011-01-02,17,15453,45
2011,2011-01-02,18,16531,44
2011,2011-01-02,19,16410,42
2011,2011-01-02,20,15954,41
2011,2011-01-02,21,15337,40
2011,2011-01-02,22,14347,38
2011,2011-01-02,23,13178,36
2011,2011-01-02,24,12106,35
2011,2011-01-03,1,11400,33
2011,2011-01-03,2,11059,32
2011,2011-01-03,3,10959,30
2011,2011-01-03,4,11073,30
2011,2011-01-03,5,11485,29
2011,2011-01-03,6,12645,29
2011,2011-01-03,7,14725,28
2011,2011-01-03,8,15863,27
2011,2011-01-03,9,16076,27
2011,2011-01-03,10,16222,29
2011,2011-01-03,11,16358,30
2011,2011-01-03,12,16362,31
2011,2011-01-03,13,16229,32
2011,2011-01-03,14,16123,33
2011,2011-01-03,15,15976,33
2011,2011-01-03,16,16127,32
2011,2011-01-03,17,17359,31
2011,2011-01-03,18,18818,30
2011,2011-01-03,19,18724,28
2011,2011-01-03,20,18269,28
2011,2011-01-03,21,17559,27
2011,2011-01-03,22,16383,27
2011,2011-01-03,23,14881,26
2011,2011-01-03,24,13520,25
2011,2011-01-04,1,12630,24
2011,2011-01-04,2,12223,23
2011,2011-01-04,3,12070,24
2011,2011-01-04,4,12105,23
2011,2011-01-04,5,12466,22
2011,2011-01-04,6,13624,22
2011,2011-01-04,7,15680,21
2011,2011-01-04,8,16827,21
2011,2011-01-04,9,16894,22
2011,2011-01-04,10,16847,26
2011,2011-01-04,11,16845,29
2011,2011-01-04,12,16779,32
