Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,1048,31
2011,2011-01-01,2,1000,31
2011,2011-01-01,3,964,32
2011,2011-01-01,4,954,35
2011,2011-01-01,5,960,34
2011,2011-01-01,6,983,33
2011,2011-01-01,7,1028,34
2011,2011-01-01,8,1085,34
2011,2011-01-01,9,1158,34
2011,2011-01-01,10,1232,38
2011,2011-01-01,11,1273,39
2011,2011-01-01,12,1279,44
2011,2011-01-01,13,1267,44
2011,2011-01-01,14,1241,46
2011,2011-01-01,15,1220,50
2011,2011-01-01,16,1239,50
2011,2011-01-01,17,1374,44
2011,2011-01-01,18,1446,40
2011,2011-01-01,19,1420,41
2011,2011-01-01,20,1370,39
2011,2011-01-01,21,1303,40
2011,2011-01-01,22,1232,40
2011,2011-01-01,23,1164,42
2011,2011-01-01,24,1070,42
2011,2011-01-02,1,1006,42
2011,2011-01-02,2,947,40
2011,2011-01-02,3,924,39
2011,2011-01-02,4,925,39
2011,2011-01-02,5,943,39
2011,2011-01-02,6,978,38
2011,2011-01-02,7,1041,39
2011,2011-01-02,8,1131,38
2011,2011-01-02,9,1231,38
2011,2011-01-02,10,1315,40
2011,2011-01-02,11,1359,40
2011,2011-01-02,12,1359,43
2011,2011-01-02,13,1362,43
2011,2011-01-02,14,1335,43
2011,2011-01-02,15,1315,44
2011,2011-01-02,16,1309,44
2011,2011-01-02,17,1450,43
2011,2011-01-02,18,1553,41
2011,2011-01-02,19,1515,40
2011,2011-01-02,20,1451,39
2011,2011-01-02,21,1375,40
2011,2011-01-02,22,1246,39
2011,2011-01-02,23,1144,38
2011,2011-01-02,24,1064,39
2011,2011-01-03,1,1017,40
2011,2011-01-03,2,992,35
2011,2011-01-03,3,985,33
2011,2011-01-03,4,1009,33
2011,2011-01-03,5,1056,32
2011,2011-01-03,6,1172,30
2011,2011-01-03,7,1365,28
2011,2011-01-03,8,1435,28
2011,2011-01-03,9,1452,27
2011,2011-01-03,10,1473,29
2011,2011-01-03,11,1486,31
2011,2011-01-03,12,1480,31
2011,2011-01-03,13,1450,32
2011,2011-01-03,14,1441,32
2011,2011-01-03,15,1432,33
2011,2011-01-03,16,1435,32
2011,2011-01-03,17,1560,30
2011,2011-01-03,18,1653,29
2011,2011-01-03,19,1634,26
2011,2011-01-03,20,1586,27
2011,2011-01-03,21,1517,25
2011,2011-01-03,22,1408,27
2011,2011-01-03,23,1284,25
2011,2011-01-03,24,1192,24
2011,2011-01-04,1,1104,24
2011,2011-01-04,2,1079,20
2011,2011-01-04,3,1085,23
2011,2011-01-04,4,1089,23
2011,2011-01-04,5,1135,20
2011,2011-01-04,6,1238,21
2011,2011-01-04,7,1399,21
2011,2011-01-04,8,1473,20
2011,2011-01-04,9,1461,19
2011,2011-01-04,10,1456,23
2011,2011-01-04,11,1468,29
2011,2011-01-04,12,1462,32
2011,2011-01-04,13,1454,32
2011,2011-01-04,14,1458,32
2011,2011-01-04,15,1445,32
2011,2011-01-04,16,1453,32
2011,2011-01-04,17,1558,30
2011,2011-01-04,18,1641,29
2011,2011-01-04,19,1625,29
2011,2011-01-04,20,1577,26
2011,2011-01-04,21,1493,25
2011,2011-01-04,22,1375,26
2011,2011-01-04,23,1251,25
2011,2011-01-04,24,1153,23
2011,2011-01-05,1,1107,23
2011,2011-01-05,2,1075,23
2011,2011-01-05,3,1071,19
2011,2011-01-05,4,1079,21
2011,2011-01-05,5,1126,19
2011,2011-01-05,6,1232,19
2011,2011-01-05,7,1414,18
2011,2011-01-05,8,1505,18
2011,2011-01-05,9,1498,21
2011,2011-01-05,10,1492,27
2011,2011-01-05,11,1488,30
2011,2011-01-05,12,1476,33
2011,2011-01-05,13,1444,35
2011,2011-01-05,14,1453,31
2011,2011-01-05,15,1425,31
2011,2011-01-05,16,1419,33
2011,2011-01-05,17,1543,32
2011,2011-01-05,18,1644,32
2011,2011-01-05,19,1625,29
2011,2011-01-05,20,1591,25
2011,2011-01-05,21,1518,26
2011,2011-01-05,22,1402,23
2011,2011-01-05,23,1298,21
2011,2011-01-05,24,1210,22
2011,2011-01-06,1,1139,21
2011,2011-01-06,2,1106,21
2011,2011-01-06,3,1090,17
2011,2011-01-06,4,1094,18
2011,2011-01-06,5,1131,18
2011,2011-01-06,6,1248,17
2011,2011-01-06,7,1450,15
2011,2011-01-06,8,1524,14
2011,2011-01-06,9,1510,15
2011,2011-01-06,10,1490,19
2011,2011-01-06,11,1485,22
2011,2011-01-06,12,1464,26
2011,2011-01-06,13,1438,27
2011,2011-01-06,14,1434,28
2011,2011-01-06,15,1418,30
2011,2011-01-06,16,1415,30
2011,2011-01-06,17,1523,27
2011,2011-01-06,18,1632,25
2011,2011-01-06,19,1623,22
2011,2011-01-06,20,1593,19
2011,2011-01-06,21,1514,19
2011,2011-01-06,22,1391,15
2011,2011-01-06,23,1282,18
2011,2011-01-06,24,1182,13
2011,2011-01-07,1,1118,17
2011,2011-01-07,2,1091,16
2011,2011-01-07,3,1081,14
2011,2011-01-07,4,1085,14
2011,2011-01-07,5,1124,13
2011,2011-01-07,6,1228,15
2011,2011-01-07,7,1431,16
2011,2011-01-07,8,1523,16
2011,2011-01-07,9,1530,17
2011,2011-01-07,10,1532,19
2011,2011-01-07,11,1508,21
2011,2011-01-07,12,1493,23
2011,2011-01-07,13,1479,25
2011,2011-01-07,14,1451,28
2011,2011-01-07,15,1426,28
2011,2011-01-07,16,1420,28
2011,2011-01-07,17,1521,26
2011,2011-01-07,18,1593,24
2011,2011-01-07,19,1573,23
2011,2011-01-07,20,1529,23
2011,2011-01-07,21,1467,23
2011,2011-01-07,22,1384,21
2011,2011-01-07,23,1306,21
2011,2011-01-07,24,1201,20
2011,2011-01-08,1,1128,20
2011,2011-01-08,2,1088,20
2011,2011-01-08,3,1066,19
2011,2011-01-08,4,1065,20
2011,2011-01-08,5,1075,20
2011,2011-01-08,6,1118,22
2011,2011-01-08,7,1190,23
2011,2011-01-08,8,1294,24
2011,2011-01-08,9,1389,24
2011,2011-01-08,10,1466,25
2011,2011-01-08,11,1487,27
2011,2011-01-08,12,1496,29
2011,2011-01-08,13,1448,31
2011,2011-01-08,14,1415,33
2011,2011-01-08,15,1389,32
2011,2011-01-08,16,1390,33
2011,2011-01-08,17,1503,32
2011,2011-01-08,18,1572,30
2011,2011-01-08,19,1530,30
2011,2011-01-08,20,1480,30
2011,2011-01-08,21,1409,29
2011,2011-01-08,22,1318,30
2011,2011-01-08,23,1245,30
2011,2011-01-08,24,1160,30
2011,2011-01-09,1,1081,30
2011,2011-01-09,2,1049,31
2011,2011-01-09,3,1031,31
2011,2011-01-09,4,1032,31
2011,2011-01-09,5,1046,31
2011,2011-01-09,6,1081,30
2011,2011-01-09,7,1129,30
2011,2011-01-09,8,1206,30
2011,2011-01-09,9,1302,29
2011,2011-01-09,10,1362,32
2011,2011-01-09,11,1386,34
2011,2011-01-09,12,1406,36
2011,2011-01-09,13,1402,38
2011,2011-01-09,14,1390,38
2011,2011-01-09,15,1379,38
2011,2011-01-09,16,1391,36
2011,2011-01-09,17,1519,34
2011,2011-01-09,18,1615,31
2011,2011-01-09,19,1584,31
2011,2011-01-09,20,1535,30
2011,2011-01-09,21,1470,29
2011,2011-01-09,22,1347,28
2011,2011-01-09,23,1244,27
2011,2011-01-09,24,1163,25
2011,2011-01-10,1,1112,24
2011,2011-01-10,2,1087,23
2011,2011-01-10,3,1081,22
2011,2011-01-10,4,1088,21
2011,2011-01-10,5,1131,21
2011,2011-01-10,6,1237,21
2011,2011-01-10,7,1445,22
2011,2011-01-10,8,1531,24
2011,2011-01-10,9,1536,25
2011,2011-01-10,10,1529,27
2011,2011-01-10,11,1533,28
2011,2011-01-10,12,1513,31
2011,2011-01-10,13,1492,33
2011,2011-01-10,14,1485,35
2011,2011-01-10,15,1458,36
2011,2011-01-10,16,1450,36
2011,2011-01-10,17,1556,34
2011,2011-01-10,18,1676,31
2011,2011-01-10,19,1658,30
2011,2011-01-10,20,1617,29
2011,2011-01-10,21,1518,27
2011,2011-01-10,22,1401,25
2011,2011-01-10,23,1277,24
2011,2011-01-10,24,1186,23
2011,2011-01-11,1,1126,22
2011,2011-01-11,2,1093,20
2011,2011-01-11,3,1080,18
2011,2011-01-11,4,1083,17
2011,2011-01-11,5,1127,15
2011,2011-01-11,6,1239,14
2011,2011-01-11,7,1438,13
2011,2011-01-11,8,1493,13
2011,2011-01-11,9,1494,13
2011,2011-01-11,10,1508,20
2011,2011-01-11,11,1506,24
2011,2011-01-11,12,1475,27
2011,2011-01-11,13,1467,29
2011,2011-01-11,14,1443,29
2011,2011-01-11,15,1419,30
2011,2011-01-11,16,1418,31
2011,2011-01-11,17,1543,28
2011,2011-01-11,18,1630,25
2011,2011-01-11,19,1622,25
2011,2011-01-11,20,1601,25
2011,2011-01-11,21,1526,24
2011,2011-01-11,22,1414,23
2011,2011-01-11,23,1279,21
2011,2011-01-11,24,1179,24
2011,2011-01-12,1,1116,24
2011,2011-01-12,2,1092,24
2011,2011-01-12,3,1073,24
2011,2011-01-12,4,1080,24
2011,2011-01-12,5,1119,25
2011,2011-01-12,6,1219,25
2011,2011-01-12,7,1356,24
2011,2011-01-12,8,1439,24
2011,2011-01-12,9,1476,24
2011,2011-01-12,10,1514,26
2011,2011-01-12,11,1561,27
2011,2011-01-12,12,1563,27
2011,2011-01-12,13,1553,28
2011,2011-01-12,14,1523,30
2011,2011-01-12,15,1478,31
2011,2011-01-12,16,1445,31
2011,2011-01-12,17,1542,31
2011,2011-01-12,18,1645,31
2011,2011-01-12,19,1601,31
2011,2011-01-12,20,1513,30
2011,2011-01-12,21,1429,31
2011,2011-01-12,22,1311,32
2011,2011-01-12,23,1208,32
2011,2011-01-12,24,1130,31
2011,2011-01-13,1,1061,31
2011,2011-01-13,2,1041,32
2011,2011-01-13,3,1029,31
2011,2011-01-13,4,1033,31
2011,2011-01-13,5,1067,31
2011,2011-01-13,6,1179,30
2011,2011-01-13,7,1362,29
2011,2011-01-13,8,1434,28
