Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,2474,41
2011,2011-01-01,2,2367,40
2011,2011-01-01,3,2282,37
2011,2011-01-01,4,2231,35
2011,2011-01-01,5,2212,37
2011,2011-01-01,6,2238,39
2011,2011-01-01,7,2315,40
2011,2011-01-01,8,2355,38
2011,2011-01-01,9,2442,39
2011,2011-01-01,10,2538,42
2011,2011-01-01,11,2613,46
2011,2011-01-01,12,2646,51
2011,2011-01-01,13,2667,53
2011,2011-01-01,14,2646,54
2011,2011-01-01,15,2622,55
2011,2011-01-01,16,2652,53
2011,2011-01-01,17,2852,47
2011,2011-01-01,18,3022,47
2011,2011-01-01,19,3015,46
2011,2011-01-01,20,2956,44
2011,2011-01-01,21,2893,44
2011,2011-01-01,22,2785,44
2011,2011-01-01,23,2626,42
2011,2011-01-01,24,2440,46
2011,2011-01-02,1,2279,44
2011,2011-01-02,2,2175,41
2011,2011-01-02,3,2113,42
2011,2011-01-02,4,2088,43
2011,2011-01-02,5,2085,45
2011,2011-01-02,6,2126,45
2011,2011-01-02,7,2213,45
2011,2011-01-02,8,2298,44
2011,2011-01-02,9,2429,45
2011,2011-01-02,10,2587,45
2011,2011-01-02,11,2687,47
2011,2011-01-02,12,2754,48
2011,2011-01-02,13,2776,48
2011,2011-01-02,14,2787,50
2011,2011-01-02,15,2795,50
2011,2011-01-02,16,2831,50
2011,2011-01-02,17,3036,50
2011,2011-01-02,18,3195,48
2011,2011-01-02,19,3190,46
2011,2011-01-02,20,3126,48
2011,2011-01-02,21,3035,46
2011,2011-01-02,22,2883,43
2011,2011-01-02,23,2669,40
2011,2011-01-02,24,2462,40
2011,2011-01-03,1,2324,38
2011,2011-01-03,2,2261,36
2011,2011-01-03,3,2240,34
2011,2011-01-03,4,2257,33
2011,2011-01-03,5,2335,33
2011,2011-01-03,6,2543,32
2011,2011-01-03,7,2922,32
2011,2011-01-03,8,3158,31
2011,2011-01-03,9,3222,30
2011,2011-01-03,10,3260,31
