Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,1044,28
2011,2011-01-01,2,985,27
2011,2011-01-01,3,937,28
2011,2011-01-01,4,914,30
2011,2011-01-01,5,911,32
2011,2011-01-01,6,932,32
2011,2011-01-01,7,976,32
2011,2011-01-01,8,1023,31
2011,2011-01-01,9,1107,30
2011,2011-01-01,10,1185,35
2011,2011-01-01,11,1237,40
2011,2011-01-01,12,1252,42
2011,2011-01-01,13,1241,47
2011,2011-01-01,14,1223,49
2011,2011-01-01,15,1208,51
2011,2011-01-01,16,1220,50
2011,2011-01-01,17,1355,45
2011,2011-01-01,18,1459,41
2011,2011-01-01,19,1437,40
2011,2011-01-01,20,1386,38
2011,2011-01-01,21,1324,38
2011,2011-01-01,22,1239,37
2011,2011-01-01,23,1135,36
2011,2011-01-01,24,1027,37
2011,2011-01-02,1,943,36
2011,2011-01-02,2,899,35
2011,2011-01-02,3,875,34
2011,2011-01-02,4,869,35
2011,2011-01-02,5,876,36
2011,2011-01-02,6,909,35
2011,2011-01-02,7,968,35
2011,2011-01-02,8,1044,35
2011,2011-01-02,9,1150,36
2011,2011-01-02,10,1245,37
2011,2011-01-02,11,1295,39
2011,2011-01-02,12,1313,40
2011,2011-01-02,13,1315,41
2011,2011-01-02,14,1308,42
2011,2011-01-02,15,1296,42
2011,2011-01-02,16,1296,42
2011,2011-01-02,17,1425,43
2011,2011-01-02,18,1534,37
2011,2011-01-02,19,1514,36
2011,2011-01-02,20,1454,33
2011,2011-01-02,21,1380,35
2011,2011-01-02,22,1271,37
2011,2011-01-02,23,1152,37
2011,2011-01-02,24,1053,36
2011,2011-01-03,1,990,35
2011,2011-01-03,2,962,33
2011,2011-01-03,3,957,32
2011,2011-01-03,4,966,31
2011,2011-01-03,5,1012,29
2011,2011-01-03,6,1129,27
2011,2011-01-03,7,1340,27
2011,2011-01-03,8,1440,27
2011,2011-01-03,9,1453,27
2011,2011-01-03,10,1477,28
2011,2011-01-03,11,1494,29
2011,2011-01-03,12,1493,30
2011,2011-01-03,13,1481,31
2011,2011-01-03,14,1472,31
2011,2011-01-03,15,1458,32
2011,2011-01-03,16,1476,31
2011,2011-01-03,17,1604,30
2011,2011-01-03,18,1738,28
2011,2011-01-03,19,1731,28
2011,2011-01-03,20,1681,25
2011,2011-01-03,21,1602,26
2011,2011-01-03,22,1478,26
2011,2011-01-03,23,1326,25
2011,2011-01-03,24,1203,18
2011,2011-01-04,1,1127,16
2011,2011-01-04,2,1090,14
2011,2011-01-04,3,1078,15
2011,2011-01-04,4,1083,12
2011,2011-01-04,5,1129,12
2011,2011-01-04,6,1246,11
2011,2011-01-04,7,1457,11
2011,2011-01-04,8,1557,10
2011,2011-01-04,9,1562,12
2011,2011-01-04,10,1558,19
2011,2011-01-04,11,1563,25
2011,2011-01-04,12,1559,26
2011,2011-01-04,13,1539,29
2011,2011-01-04,14,1520,32
2011,2011-01-04,15,1501,32
2011,2011-01-04,16,1504,33
2011,2011-01-04,17,1614,33
2011,2011-01-04,18,1742,30
2011,2011-01-04,19,1739,31
2011,2011-01-04,20,1693,30
2011,2011-01-04,21,1625,25
2011,2011-01-04,22,1511,21
2011,2011-01-04,23,1355,20
2011,2011-01-04,24,1228,19
2011,2011-01-05,1,1147,17
2011,2011-01-05,2,1109,17
2011,2011-01-05,3,1090,16
2011,2011-01-05,4,1088,14
2011,2011-01-05,5,1132,14
2011,2011-01-05,6,1250,13
2011,2011-01-05,7,1462,13
2011,2011-01-05,8,1556,10
2011,2011-01-05,9,1552,12
2011,2011-01-05,10,1540,19
2011,2011-01-05,11,1545,28
2011,2011-01-05,12,1541,34
2011,2011-01-05,13,1530,33
2011,2011-01-05,14,1523,31
2011,2011-01-05,15,1498,33
2011,2011-01-05,16,1512,33
2011,2011-01-05,17,1626,33
2011,2011-01-05,18,1755,30
2011,2011-01-05,19,1750,29
2011,2011-01-05,20,1706,28
2011,2011-01-05,21,1632,26
2011,2011-01-05,22,1506,24
2011,2011-01-05,23,1360,21
2011,2011-01-05,24,1238,20
