Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,775,31
2011,2011-01-01,2,733,32
2011,2011-01-01,3,702,29
2011,2011-01-01,4,684,32
2011,2011-01-01,5,681,32
2011,2011-01-01,6,689,33
2011,2011-01-01,7,711,34
2011,2011-01-01,8,721,35
2011,2011-01-01,9,759,35
2011,2011-01-01,10,800,39
2011,2011-01-01,11,839,45
2011,2011-01-01,12,848,47
2011,2011-01-01,13,851,50
2011,2011-01-01,14,844,50
2011,2011-01-01,15,825,53
2011,2011-01-01,16,833,49
2011,2011-01-01,17,928,45
2011,2011-01-01,18,1003,43
2011,2011-01-01,19,996,41
2011,2011-01-01,20,974,40
2011,2011-01-01,21,943,40
2011,2011-01-01,22,899,40
2011,2011-01-01,23,836,41
2011,2011-01-01,24,765,42
2011,2011-01-02,1,701,44
2011,2011-01-02,2,665,45
2011,2011-01-02,3,642,43
2011,2011-01-02,4,632,44
2011,2011-01-02,5,632,42
2011,2011-01-02,6,644,43
2011,2011-01-02,7,677,43
2011,2011-01-02,8,710,45
2011,2011-01-02,9,757,43
2011,2011-01-02,10,821,44
2011,2011-01-02,11,865,47
2011,2011-01-02,12,888,48
2011,2011-01-02,13,900,48
2011,2011-01-02,14,897,50
2011,2011-01-02,15,889,48
2011,2011-01-02,16,895,50
2011,2011-01-02,17,977,48
2011,2011-01-02,18,1041,47
2011,2011-01-02,19,1037,46
2011,2011-01-02,20,1008,45
2011,2011-01-02,21,968,44
2011,2011-01-02,22,905,41
2011,2011-01-02,23,836,36
2011,2011-01-02,24,763,37
2011,2011-01-03,1,712,35
2011,2011-01-03,2,687,33
2011,2011-01-03,3,678,32
2011,2011-01-03,4,681,31
2011,2011-01-03,5,702,30
2011,2011-01-03,6,768,29
2011,2011-01-03,7,897,29
2011,2011-01-03,8,970,29
2011,2011-01-03,9,1001,29
2011,2011-01-03,10,1023,30
2011,2011-01-03,11,1043,31
2011,2011-01-03,12,1044,32
2011,2011-01-03,13,1031,33
2011,2011-01-03,14,1029,34
2011,2011-01-03,15,1010,35
2011,2011-01-03,16,1015,34
2011,2011-01-03,17,1102,33
2011,2011-01-03,18,1203,31
2011,2011-01-03,19,1197,30
2011,2011-01-03,20,1168,29
2011,2011-01-03,21,1121,28
2011,2011-01-03,22,1045,27
2011,2011-01-03,23,948,27
2011,2011-01-03,24,860,26
2011,2011-01-04,1,800,25
2011,2011-01-04,2,770,24
2011,2011-01-04,3,753,24
2011,2011-01-04,4,754,25
2011,2011-01-04,5,771,24
2011,2011-01-04,6,835,22
2011,2011-01-04,7,966,22
2011,2011-01-04,8,1046,23
2011,2011-01-04,9,1064,23
2011,2011-01-04,10,1072,30
2011,2011-01-04,11,1074,32
2011,2011-01-04,12,1066,35
2011,2011-01-04,13,1058,38
2011,2011-01-04,14,1052,37
2011,2011-01-04,15,1032,38
2011,2011-01-04,16,1026,38
2011,2011-01-04,17,1108,37
2011,2011-01-04,18,1194,34
2011,2011-01-04,19,1184,32
2011,2011-01-04,20,1156,29
2011,2011-01-04,21,1112,30
2011,2011-01-04,22,1037,30
2011,2011-01-04,23,944,30
2011,2011-01-04,24,856,28
2011,2011-01-05,1,782,28
2011,2011-01-05,2,759,28
2011,2011-01-05,3,745,27
2011,2011-01-05,4,742,27
2011,2011-01-05,5,769,30
2011,2011-01-05,6,826,29
2011,2011-01-05,7,943,28
2011,2011-01-05,8,1020,29
2011,2011-01-05,9,1039,28
2011,2011-01-05,10,1046,32
2011,2011-01-05,11,1050,35
