Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,1438,31
2011,2011-01-01,2,1348,32
2011,2011-01-01,3,1286,29
2011,2011-01-01,4,1252,32
2011,2011-01-01,5,1242,32
2011,2011-01-01,6,1264,33
2011,2011-01-01,7,1310,34
2011,2011-01-01,8,1344,35
2011,2011-01-01,9,1432,35
2011,2011-01-01,10,1514,39
2011,2011-01-01,11,1582,45
2011,2011-01-01,12,1614,47
2011,2011-01-01,13,1606,50
2011,2011-01-01,14,1582,50
2011,2011-01-01,15,1558,53
2011,2011-01-01,16,1587,49
2011,2011-01-01,17,1765,45
2011,2011-01-01,18,1931,43
2011,2011-01-01,19,1917,41
2011,2011-01-01,20,1864,40
2011,2011-01-01,21,1799,40
2011,2011-01-01,22,1698,40
2011,2011-01-01,23,1558,41
2011,2011-01-01,24,1411,42
2011,2011-01-02,1,1289,44
2011,2011-01-02,2,1213,45
2011,2011-01-02,3,1172,43
2011,2011-01-02,4,1166,44
2011,2011-01-02,5,1169,42
2011,2011-01-02,6,1201,43
2011,2011-01-02,7,1267,43
2011,2011-01-02,8,1344,45
2011,2011-01-02,9,1460,43
2011,2011-01-02,10,1587,44
2011,2011-01-02,11,1673,47
2011,2011-01-02,12,1726,48
2011,2011-01-02,13,1747,48
2011,2011-01-02,14,1731,50
2011,2011-01-02,15,1717,48
2011,2011-01-02,16,1742,50
2011,2011-01-02,17,1915,48
2011,2011-01-02,18,2056,47
2011,2011-01-02,19,2041,46
2011,2011-01-02,20,1973,45
2011,2011-01-02,21,1880,44
2011,2011-01-02,22,1735,41
2011,2011-01-02,23,1574,36
2011,2011-01-02,24,1423,37
2011,2011-01-03,1,1324,35
2011,2011-01-03,2,1277,33
2011,2011-01-03,3,1262,32
2011,2011-01-03,4,1273,31
2011,2011-01-03,5,1323,30
2011,2011-01-03,6,1464,29
2011,2011-01-03,7,1713,29
2011,2011-01-03,8,1847,29
2011,2011-01-03,9,1859,29
2011,2011-01-03,10,1876,30
2011,2011-01-03,11,1891,31
2011,2011-01-03,12,1893,32
2011,2011-01-03,13,1877,33
2011,2011-01-03,14,1862,34
2011,2011-01-03,15,1841,35
2011,2011-01-03,16,1869,34
2011,2011-01-03,17,2053,33
2011,2011-01-03,18,2267,31
2011,2011-01-03,19,2273,30
2011,2011-01-03,20,2226,29
2011,2011-01-03,21,2120,28
2011,2011-01-03,22,1953,27
2011,2011-01-03,23,1747,27
2011,2011-01-03,24,1564,26
2011,2011-01-04,1,1446,25
2011,2011-01-04,2,1385,24
2011,2011-01-04,3,1365,24
2011,2011-01-04,4,1368,25
2011,2011-01-04,5,1405,24
2011,2011-01-04,6,1544,22
2011,2011-01-04,7,1801,22
2011,2011-01-04,8,1936,23
2011,2011-01-04,9,1938,23
2011,2011-01-04,10,1929,30
2011,2011-01-04,11,1924,32
2011,2011-01-04,12,1904,35
2011,2011-01-04,13,1881,38
2011,2011-01-04,14,1873,37
2011,2011-01-04,15,1846,38
2011,2011-01-04,16,1865,38
2011,2011-01-04,17,2031,37
2011,2011-01-04,18,2232,34
2011,2011-01-04,19,2245,32
2011,2011-01-04,20,2199,29
2011,2011-01-04,21,2112,30
2011,2011-01-04,22,1947,30
2011,2011-01-04,23,1733,30
2011,2011-01-04,24,1549,28
2011,2011-01-05,1,1442,28
2011,2011-01-05,2,1382,28
2011,2011-01-05,3,1354,27
2011,2011-01-05,4,1351,27
2011,2011-01-05,5,1394,30
2011,2011-01-05,6,1530,29
2011,2011-01-05,7,1789,28
2011,2011-01-05,8,1921,29
2011,2011-01-05,9,1924,28
2011,2011-01-05,10,1915,32
2011,2011-01-05,11,1909,35
2011,2011-01-05,12,1894,36
2011,2011-01-05,13,1864,38
2011,2011-01-05,14,1848,40
2011,2011-01-05,15,1832,38
2011,2011-01-05,16,1865,37
2011,2011-01-05,17,2032,35
2011,2011-01-05,18,2229,34
2011,2011-01-05,19,2240,32
2011,2011-01-05,20,2193,30
2011,2011-01-05,21,2110,29
2011,2011-01-05,22,1952,28
2011,2011-01-05,23,1740,27
2011,2011-01-05,24,1564,27
2011,2011-01-06,1,1455,25
2011,2011-01-06,2,1400,25
2011,2011-01-06,3,1384,23
2011,2011-01-06,4,1390,22
2011,2011-01-06,5,1434,21
2011,2011-01-06,6,1578,20
2011,2011-01-06,7,1837,17
2011,2011-01-06,8,1980,19
2011,2011-01-06,9,1985,18
2011,2011-01-06,10,1969,24
2011,2011-01-06,11,1956,28
2011,2011-01-06,12,1946,30
2011,2011-01-06,13,1922,31
2011,2011-01-06,14,1909,32
2011,2011-01-06,15,1873,31
2011,2011-01-06,16,1889,32
2011,2011-01-06,17,2057,31
2011,2011-01-06,18,2250,28
2011,2011-01-06,19,2265,27
2011,2011-01-06,20,2229,24
2011,2011-01-06,21,2153,24
2011,2011-01-06,22,1998,26
2011,2011-01-06,23,1792,25
2011,2011-01-06,24,1619,24
2011,2011-01-07,1,1505,23
2011,2011-01-07,2,1443,22
2011,2011-01-07,3,1414,23
2011,2011-01-07,4,1411,22
2011,2011-01-07,5,1443,23
2011,2011-01-07,6,1574,23
2011,2011-01-07,7,1818,24
2011,2011-01-07,8,1961,24
2011,2011-01-07,9,1966,25
2011,2011-01-07,10,1960,26
2011,2011-01-07,11,1961,29
2011,2011-01-07,12,1946,30
2011,2011-01-07,13,1919,32
2011,2011-01-07,14,1912,34
2011,2011-01-07,15,1877,36
2011,2011-01-07,16,1904,34
2011,2011-01-07,17,2046,34
2011,2011-01-07,18,2175,32
2011,2011-01-07,19,2159,33
2011,2011-01-07,20,2096,32
2011,2011-01-07,21,2015,29
2011,2011-01-07,22,1892,29
2011,2011-01-07,23,1722,29
2011,2011-01-07,24,1562,29
2011,2011-01-08,1,1438,29
2011,2011-01-08,2,1374,30
2011,2011-01-08,3,1333,31
2011,2011-01-08,4,1317,30
2011,2011-01-08,5,1325,30
2011,2011-01-08,6,1374,29
2011,2011-01-08,7,1472,29
2011,2011-01-08,8,1577,29
2011,2011-01-08,9,1704,29
2011,2011-01-08,10,1798,29
2011,2011-01-08,11,1839,30
2011,2011-01-08,12,1861,31
2011,2011-01-08,13,1844,31
2011,2011-01-08,14,1803,32
2011,2011-01-08,15,1778,32
2011,2011-01-08,16,1808,32
2011,2011-01-08,17,1967,31
2011,2011-01-08,18,2097,30
2011,2011-01-08,19,2075,30
2011,2011-01-08,20,2006,30
2011,2011-01-08,21,1937,30
2011,2011-01-08,22,1833,28
2011,2011-01-08,23,1691,28
2011,2011-01-08,24,1543,29
2011,2011-01-09,1,1421,29
2011,2011-01-09,2,1351,29
2011,2011-01-09,3,1313,28
2011,2011-01-09,4,1303,29
2011,2011-01-09,5,1313,29
2011,2011-01-09,6,1347,29
2011,2011-01-09,7,1415,28
2011,2011-01-09,8,1496,29
2011,2011-01-09,9,1620,27
