Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,575,43
2011,2011-01-01,2,540,40
2011,2011-01-01,3,516,42
2011,2011-01-01,4,505,43
2011,2011-01-01,5,503,42
2011,2011-01-01,6,517,37
2011,2011-01-01,7,542,37
2011,2011-01-01,8,577,36
2011,2011-01-01,9,621,35
2011,2011-01-01,10,665,36
2011,2011-01-01,11,690,37
2011,2011-01-01,12,700,47
2011,2011-01-01,13,693,47
2011,2011-01-01,14,686,49
2011,2011-01-01,15,677,50
2011,2011-01-01,16,689,49
2011,2011-01-01,17,739,49
2011,2011-01-01,18,777,46
2011,2011-01-01,19,763,46
2011,2011-01-01,20,734,49
2011,2011-01-01,21,704,49
2011,2011-01-01,22,674,50
2011,2011-01-01,23,618,50
2011,2011-01-01,24,570,49
2011,2011-01-02,1,530,49
2011,2011-01-02,2,504,48
2011,2011-01-02,3,489,48
2011,2011-01-02,4,484,47
2011,2011-01-02,5,491,48
2011,2011-01-02,6,510,46
2011,2011-01-02,7,543,44
2011,2011-01-02,8,587,42
2011,2011-01-02,9,637,40
2011,2011-01-02,10,683,39
2011,2011-01-02,11,698,40
2011,2011-01-02,12,702,40
2011,2011-01-02,13,699,40
2011,2011-01-02,14,686,40
2011,2011-01-02,15,677,39
2011,2011-01-02,16,687,37
2011,2011-01-02,17,737,36
2011,2011-01-02,18,793,35
2011,2011-01-02,19,786,34
2011,2011-01-02,20,764,33
2011,2011-01-02,21,737,32
2011,2011-01-02,22,699,32
2011,2011-01-02,23,643,31
2011,2011-01-02,24,603,30
2011,2011-01-03,1,575,29
2011,2011-01-03,2,559,28
2011,2011-01-03,3,558,28
2011,2011-01-03,4,567,28
2011,2011-01-03,5,584,27
2011,2011-01-03,6,638,26
2011,2011-01-03,7,736,25
2011,2011-01-03,8,795,24
2011,2011-01-03,9,801,25
2011,2011-01-03,10,809,26
2011,2011-01-03,11,815,26
2011,2011-01-03,12,823,27
2011,2011-01-03,13,816,28
2011,2011-01-03,14,815,31
2011,2011-01-03,15,806,29
2011,2011-01-03,16,810,29
2011,2011-01-03,17,851,29
2011,2011-01-03,18,901,29
2011,2011-01-03,19,895,29
2011,2011-01-03,20,870,29
2011,2011-01-03,21,840,28
2011,2011-01-03,22,793,28
2011,2011-01-03,23,726,28
2011,2011-01-03,24,675,28
