Year,Date,Hour,Demand,Temperature
2011,2011-01-01,1,1649,41
2011,2011-01-01,2,1565,39
2011,2011-01-01,3,1506,39
2011,2011-01-01,4,1476,42
2011,2011-01-01,5,1466,43
2011,2011-01-01,6,1490,44
2011,2011-01-01,7,1544,46
2011,2011-01-01,8,1587,40
2011,2011-01-01,9,1667,42
2011,2011-01-01,10,1752,46
2011,2011-01-01,11,1822,51
2011,2011-01-01,12,1845,52
2011,2011-01-01,13,1849,56
2011,2011-01-01,14,1824,56
2011,2011-01-01,15,1797,58
2011,2011-01-01,16,1825,55
2011,2011-01-01,17,1990,51
2011,2011-01-01,18,2124,50
2011,2011-01-01,19,2099,49
2011,2011-01-01,20,2048,47
2011,2011-01-01,21,1980,47
2011,2011-01-01,22,1884,47
2011,2011-01-01,23,1755,47
2011,2011-01-01,24,1612,47
2011,2011-01-02,1,1495,46
2011,2011-01-02,2,1424,46
2011,2011-01-02,3,1380,46
2011,2011-01-02,4,1363,46
2011,2011-01-02,5,1364,46
2011,2011-01-02,6,1399,45
2011,2011-01-02,7,1471,45
2011,2011-01-02,8,1551,45
2011,2011-01-02,9,1672,45
2011,2011-01-02,10,1799,44
2011,2011-01-02,11,1873,44
2011,2011-01-02,12,1920,46
2011,2011-01-02,13,1948,47
2011,2011-01-02,14,1952,46
2011,2011-01-02,15,1931,46
2011,2011-01-02,16,1948,46
2011,2011-01-02,17,2119,44
2011,2011-01-02,18,2258,42
2011,2011-01-02,19,2246,41
2011,2011-01-02,20,2193,39
2011,2011-01-02,21,2113,37
2011,2011-01-02,22,1985,35
2011,2011-01-02,23,1831,34
2011,2011-01-02,24,1688,31
2011,2011-01-03,1,1592,29
2011,2011-01-03,2,1548,28
2011,2011-01-03,3,1535,27
2011,2011-01-03,4,1540,26
2011,2011-01-03,5,1600,26
2011,2011-01-03,6,1769,26
2011,2011-01-03,7,2066,25
2011,2011-01-03,8,2227,23
2011,2011-01-03,9,2254,23
2011,2011-01-03,10,2264,25
2011,2011-01-03,11,2283,26
2011,2011-01-03,12,2285,27
2011,2011-01-03,13,2269,29
2011,2011-01-03,14,2255,30
2011,2011-01-03,15,2241,30
2011,2011-01-03,16,2266,29
2011,2011-01-03,17,2431,27
2011,2011-01-03,18,2639,26
2011,2011-01-03,19,2618,25
2011,2011-01-03,20,2558,25
2011,2011-01-03,21,2463,24
2011,2011-01-03,22,2308,24
2011,2011-01-03,23,2105,23
2011,2011-01-03,24,1925,21
2011,2011-01-04,1,1812,20
2011,2011-01-04,2,1760,19
2011,2011-01-04,3,1734,20
2011,2011-01-04,4,1738,20
2011,2011-01-04,5,1788,20
2011,2011-01-04,6,1952,20
2011,2011-01-04,7,2240,18
2011,2011-01-04,8,2396,18
2011,2011-01-04,9,2402,20
2011,2011-01-04,10,2385,24
2011,2011-01-04,11,2383,27
2011,2011-01-04,12,2386,30
2011,2011-01-04,13,2363,32
2011,2011-01-04,14,2322,34
2011,2011-01-04,15,2289,34
2011,2011-01-04,16,2296,34
2011,2011-01-04,17,2442,33
2011,2011-01-04,18,2635,30
2011,2011-01-04,19,2623,30
2011,2011-01-04,20,2566,28
2011,2011-01-04,21,2480,27
2011,2011-01-04,22,2326,27
2011,2011-01-04,23,2121,27
2011,2011-01-04,24,1939,26
2011,2011-01-05,1,1824,27
2011,2011-01-05,2,1768,27
2011,2011-01-05,3,1740,27
2011,2011-01-05,4,1733,26
2011,2011-01-05,5,1782,25
2011,2011-01-05,6,1947,25
2011,2011-01-05,7,2232,24
2011,2011-01-05,8,2384,24
2011,2011-01-05,9,2385,25
2011,2011-01-05,10,2369,26
2011,2011-01-05,11,2356,29
2011,2011-01-05,12,2351,31
2011,2011-01-05,13,2334,33
2011,2011-01-05,14,2329,33
2011,2011-01-05,15,2305,33
2011,2011-01-05,16,2314,31
2011,2011-01-05,17,2463,30
2011,2011-01-05,18,2643,28
2011,2011-01-05,19,2634,27
2011,2011-01-05,20,2577,25
2011,2011-01-05,21,2495,24
2011,2011-01-05,22,2341,22
2011,2011-01-05,23,2144,22
2011,2011-01-05,24,1962,21
2011,2011-01-06,1,1849,19
2011,2011-01-06,2,1797,18
2011,2011-01-06,3,1778,18
2011,2011-01-06,4,1785,16
2011,2011-01-06,5,1838,16
2011,2011-01-06,6,1997,17
2011,2011-01-06,7,2287,17
2011,2011-01-06,8,2443,17
2011,2011-01-06,9,2442,18
2011,2011-01-06,10,2420,20
2011,2011-01-06,11,2407,22
2011,2011-01-06,12,2393,25
2011,2011-01-06,13,2373,26
2011,2011-01-06,14,2359,26
2011,2011-01-06,15,2331,27
2011,2011-01-06,16,2343,27
2011,2011-01-06,17,2479,26
2011,2011-01-06,18,2658,25
2011,2011-01-06,19,2658,22
2011,2011-01-06,20,2609,24
2011,2011-01-06,21,2530,22
2011,2011-01-06,22,2390,22
2011,2011-01-06,23,2183,21
2011,2011-01-06,24,2015,21
2011,2011-01-07,1,1895,21
2011,2011-01-07,2,1833,21
2011,2011-01-07,3,1800,21
2011,2011-01-07,4,1792,21
2011,2011-01-07,5,1835,20
2011,2011-01-07,6,1981,19
2011,2011-01-07,7,2260,19
2011,2011-01-07,8,2422,18
2011,2011-01-07,9,2433,18
2011,2011-01-07,10,2429,20
2011,2011-01-07,11,2439,22
2011,2011-01-07,12,2442,24
2011,2011-01-07,13,2417,24
2011,2011-01-07,14,2397,25
2011,2011-01-07,15,2362,27
2011,2011-01-07,16,2366,27
2011,2011-01-07,17,2474,27
2011,2011-01-07,18,2596,26
2011,2011-01-07,19,2561,25
2011,2011-01-07,20,2479,25
2011,2011-01-07,21,2390,24
2011,2011-01-07,22,2272,24
2011,2011-01-07,23,2105,23
2011,2011-01-07,24,1937,23
2011,2011-01-08,1,1819,23
2011,2011-01-08,2,1746,22
2011,2011-01-08,3,1707,22
2011,2011-01-08,4,1689,22
2011,2011-01-08,5,1698,21
2011,2011-01-08,6,1751,20
2011,2011-01-08,7,1855,20
2011,2011-01-08,8,1948,20
2011,2011-01-08,9,2072,20
2011,2011-01-08,10,2186,21
2011,2011-01-08,11,2248,22
2011,2011-01-08,12,2262,23
2011,2011-01-08,13,2247,24
2011,2011-01-08,14,2211,24
2011,2011-01-08,15,2191,25
2011,2011-01-08,16,2199,25
2011,2011-01-08,17,2318,25
2011,2011-01-08,18,2440,25
2011,2011-01-08,19,2403,26
2011,2011-01-08,20,2322,26
2011,2011-01-08,21,2246,26
2011,2011-01-08,22,2136,25
2011,2011-01-08,23,2006,24
2011,2011-01-08,24,1864,24
2011,2011-01-09,1,1745,24
2011,2011-01-09,2,1668,24
2011,2011-01-09,3,1633,24
2011,2011-01-09,4,1619,24
2011,2011-01-09,5,1625,24
2011,2011-01-09,6,1668,23
2011,2011-01-09,7,1748,23
2011,2011-01-09,8,1827,22
2011,2011-01-09,9,1948,22
2011,2011-01-09,10,2039,23
2011,2011-01-09,11,2088,24
2011,2011-01-09,12,2121,26
2011,2011-01-09,13,2134,27
2011,2011-01-09,14,2124,27
2011,2011-01-09,15,2114,26
2011,2011-01-09,16,2140,26
2011,2011-01-09,17,2299,25
2011,2011-01-09,18,2492,24
2011,2011-01-09,19,2495,22
2011,2011-01-09,20,2436,21
2011,2011-01-09,21,2352,20
2011,2011-01-09,22,2210,20
2011,2011-01-09,23,2042,20
2011,2011-01-09,24,1889,20
2011,2011-01-10,1,1790,20
2011,2011-01-10,2,1736,20
2011,2011-01-10,3,1718,21
2011,2011-01-10,4,1725,20
2011,2011-01-10,5,1788,20
2011,2011-01-10,6,1957,19
